lista_de_imóveis_da_caixa,unnamed:_1,data_de_geração:,24/01/2025,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10
 N° do imóvel,UF,Cidade,Bairro,Endereço,Preço,Valor de avaliação,Desconto,Descrição,Modalidade de venda,Link de acesso
 10137653 ,DF ,BRASILIA ,SETOR BANCARIO SUL ,"SBS QUADRA 1 BL K LOJA, N. 04 ","224.417,36","700.000,00",67.95,"Loja, 0.00 de área total, 79.15 de área privativa, 0.00 de área do terreno.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10137653
 8444409675874 ,DF ,BRASILIA ,SAMAMBAIA NORTE (SAMAMBAIA) ,"QUADRA QN 614, N. SN, Apto 106, LT 01 A 07, CONJ C ","67.783,20","150.000,00",54.82,"Apartamento, 0.00 de área total, 28.25 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409675874
 10137655 ,DF ,BRASILIA ,SETOR BANCARIO SUL ,"SBS QUADRA 1 BL K LOTE 29 SOBRELOJA 04, N. 04 ","94.535,17","190.000,00",50.25,"Sala, 0.00 de área total, 79.15 de área privativa, 0.00 de área do terreno.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10137655
 10137654 ,DF ,BRASILIA ,SETOR BANCARIO SUL ,"SBS QUADRA 1 BL K LOJA, N. 05 ","234.020,80","463.000,00",49.46,"Loja, 0.00 de área total, 76.00 de área privativa, 0.00 de área do terreno.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10137654
 10137656 ,DF ,BRASILIA ,SETOR BANCARIO SUL ,"SBS QUADRA 1 BL K LOTE 29 SOBRELOJA, N. 05 ","146.578,91","290.000,00",49.46,"Sala, 0.00 de área total, 76.00 de área privativa, 0.00 de área do terreno.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10137656
 10143174 ,DF ,BRASILIA ,ASA SUL ,"SGAS 902, N. 222, BLOCO B, LOTE 74, SALA 222, ENTRADA B ","136.994,10","265.000,00",48.31,"Sala, 0.00 de área total, 45.97 de área privativa, 0.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10143174
 10143176 ,DF ,BRASILIA ,ASA SUL ,"SGAS 902, N. S/N, CONJUNTO B, LOTE 74, SALA 224 ","152.502,88","295.000,00",48.31,"Sala, 0.00 de área total, 0.00 de área privativa, 0.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10143176
 10143177 ,DF ,BRASILIA ,ASA SUL ,"SGAS 902, N. S/N, SALA 225, BLOCO B, CONJUNTO B ","136.994,10","265.000,00",48.31,"Sala, 0.00 de área total, 0.00 de área privativa, 0.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10143177
 10170139 ,DF ,BRASILIA ,ASA NORTE ,"QUADRA 114, N. S/N, BL C, LJ 11  LT 06 ","144.933,39","275.000,00",47.30,"Loja, 0.00 de área total, 37.62 de área privativa, 0.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10170139
